machine_speed,stock_flow,filler_flow,steam_pressure,moisture,ash,caliper,predicted_basis_weight,predicted_deviation_pct,off_spec,change_penalty
842.396,66.045,16.943,4.6,5.949,7.588,92.544,91.731766,8.268234252929688,1,4.000000000000002
842.396,66.045,16.943,4.7,5.949,7.588,92.544,91.1895,8.810501098632812,1,2.9999999999999964
842.396,66.045,16.943,4.8,5.949,7.588,92.544,91.04938,8.95062255859375,1,2.0
842.396,66.045,16.943,4.9,5.949,7.588,92.544,91.240036,8.759963989257812,1,3.0000000000000053
842.396,66.045,16.943,5.0,5.949,7.588,92.544,91.21071,8.789291381835938,1,4.000000000000002
842.396,66.045,16.943,5.1,5.949,7.588,92.544,91.338455,8.661544799804688,1,4.999999999999998
842.396,68.045,16.943,4.5,5.949,7.588,92.544,91.6053,8.394699096679688,1,3.9999999999999982
842.396,68.045,16.943,4.6,5.949,7.588,92.544,91.58698,8.413017272949219,1,3.0000000000000018
842.396,68.045,16.943,4.7,5.949,7.588,92.544,91.22201,8.777992248535156,1,1.9999999999999964
842.396,68.045,16.943,4.8,5.949,7.588,92.544,91.1337,8.866302490234375,1,1.0
842.396,68.045,16.943,4.9,5.949,7.588,92.544,91.33493,8.665069580078125,1,2.0000000000000053
842.396,68.045,16.943,5.0,5.949,7.588,92.544,91.3056,8.69439697265625,1,3.0000000000000018
842.396,68.045,16.943,5.1,5.949,7.588,92.544,91.434814,8.565185546875,1,3.9999999999999982
842.396,70.045,16.943,4.5,5.949,7.588,92.544,90.9323,9.067703247070312,1,4.999999999999998
842.396,70.045,16.943,4.6,5.949,7.588,92.544,90.91398,9.086021423339844,1,4.000000000000002
842.396,70.045,16.943,4.7,5.949,7.588,92.544,90.64296,9.357040405273438,1,2.9999999999999964
842.396,70.045,16.943,4.8,5.949,7.588,92.544,90.578125,9.421875,1,2.0
842.396,70.045,16.943,4.9,5.949,7.588,92.544,90.78618,9.213821411132812,1,3.0000000000000053
842.396,70.045,16.943,5.0,5.949,7.588,92.544,90.74961,9.250389099121094,1,4.000000000000002
842.396,70.045,16.943,5.1,5.949,7.588,92.544,90.87882,9.121177673339844,1,4.999999999999998
842.396,72.045,16.943,4.5,5.949,7.588,92.544,90.86466,9.135337829589844,1,5.999999999999998
842.396,72.045,16.943,4.6,5.949,7.588,92.544,90.84635,9.153648376464844,1,5.000000000000002
842.396,72.045,16.943,4.7,5.949,7.588,92.544,90.57533,9.424667358398438,1,3.9999999999999964
842.396,72.045,16.943,4.8,5.949,7.588,92.544,90.53788,9.462120056152344,1,3.0
842.396,72.045,16.943,4.9,5.949,7.588,92.544,90.74013,9.259872436523438,1,4.000000000000005
842.396,72.045,16.943,5.0,5.949,7.588,92.544,90.7536,9.24639892578125,1,5.000000000000002
842.396,72.045,16.943,5.1,5.949,7.588,92.544,90.86245,9.137550354003906,1,5.999999999999998
842.396,74.045,16.943,4.5,5.949,7.588,92.544,90.93328,9.066719055175781,1,6.999999999999998
842.396,74.045,16.943,4.6,5.949,7.588,92.544,90.914955,9.085044860839844,1,6.000000000000002
842.396,74.045,16.943,4.7,5.949,7.588,92.544,90.631134,9.368865966796875,1,4.9999999999999964
842.396,74.045,16.943,4.8,5.949,7.588,92.544,90.58196,9.418037414550781,1,4.0
